"","Rank","Title","Description","Runtime","Genre","Rating","Votes","Gross_in_Mil","Director","Actor"
"31",31,"Long Shot","    Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",125,"Comedy",7,37624,30.32,"Jonathan Levine","Charlize Theron"
"32",32,"The Hustle","    Anne Hathaway and Rebel Wilson star as female scam artists, one low rent and the other high class, who team up to take down the men who have wronged them.",93,"Comedy",5.3,14762,35.42,"Chris Addison","Anne Hathaway"
"33",33,"Toy Story 4","    When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",100,"Animation",8.2,83460,424.6,"Josh Cooley","Tom Hanks"
"34",34,"Pokémon Detective Pikachu","    In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",104,"Action",6.7,86165,144.1,"Rob Letterman","Ryan Reynolds"
"35",35,"Angel Has Fallen","    Secret Service Agent Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.",120,"Action",8.1,16,NA,"Ric Roman Waugh","Gerard Butler"
"36",36,"The Secret Life of Pets 2","    Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",86,"Animation",6.5,15559,157.1,"Chris Renaud","Patton Oswalt"
"37",37,"Annabelle Comes Home","    While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.",106,"Horror",6.1,23386,72.59,"Gary Dauberman","Vera Farmiga"
"38",38,"Where'd You Go, Bernadette","    A loving mom becomes compelled to reconnect with her creative passions after years of sacrificing herself for her family. Her leap of faith takes her on an epic adventure that jump-starts her life and leads to her triumphant rediscovery.",130,"Comedy",6.6,760,3.84,"Richard Linklater","Cate Blanchett"
"39",39,"Ma","    A lonely woman befriends a group of teenagers and decides to let them party at her house. Just when the kids think their luck couldn't get any better, things start happening that make them question the intention of their host.",99,"Horror",5.8,11844,45.37,"Tate Taylor","Octavia Spencer"
"40",40,"Rambo: Last Blood","    Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.",NA,"Action",NA,NA,NA,"Adrian Grunberg","Sylvester Stallone"
"41",41,"Terminator: Dark Fate","    Sarah Connor has returned from far away, and she's gearing up with a team of agents who will fight against T-1000.",NA,"Action",NA,NA,NA,"Tim Miller","Arnold Schwarzenegger"
"42",42,"Light of My Life","    Parent and child journey through the outskirts of society a decade after a pandemic has wiped out half the world's population. As a father struggles to protect his child, their bond, and the character of humanity, is tested.",119,"Drama",6.6,1396,NA,"Casey Affleck","Anna Pniowsky"
"43",43,"Hellboy","    Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.",120,"Action",5.2,45663,21.9,"Neil Marshall","David Harbour"
"44",44,"Dolor y gloria","    A film director reflects on the choices he's made in life as past and present come crashing down around him.",113,"Drama",7.8,8172,NA,"Pedro Almodóvar","Antonio Banderas"
"45",45,"Otherhood","    A grounded, soulful, celebratory comedy about three mothers and their adult sons. The film explores the stage after motherhood, Otherhood, when you have to redefine your relationship with your children, friends, spouse, and most importantly, yourself.",100,"Comedy",6.1,4952,NA,"Cindy Chupack","Angela Bassett"
"46",46,"Star Wars: The Rise of Skywalker","    The surviving Resistance faces the First Order once more in the final chapter of the Skywalker saga.",NA,"Action",NA,NA,NA,"J.J. Abrams","Domhnall Gleeson"
"47",47,"A Hidden Life","    The Austrian Blessed Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II.",173,"Biography",7.1,298,NA,"Terrence Malick","August Diehl"
"48",48,"After","    A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.",105,"Drama",5.4,16189,12.14,"Jenny Gage","Josephine Langford"
"49",49,"Captain Marvel","    Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.",123,"Action",7,347649,426.8,"Anna Boden","Brie Larson"
"50",50,"Batla House","    An action thriller based on the 2008 police encounter in Delhi's Batla House.",146,"Action",8,1951,NA,"Nikkhil Advani","Nora Fatehi"
